Questions,Labels,Response
best before date,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
best by date,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
expiry date,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
use by date,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
labeling,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
labels,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
what are the labels,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
tell me more about labels,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
what are the labels on food products,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
what is a use by date,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
what is a best by date,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
what is a best before date,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
what is a expiry date,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
what are best before dates,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
what are best by dates,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
what are expiry dates,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
what are use by dates,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
where are dates located,Labeling,"If you want more information about labels, click the label button on the nav bar to learn more"
How can I store bananas?,Storage,"Bananas should normally be stored in room temperature, so out in a bowl is perfect"
where should I store bananas?,Storage,"Bananas should normally be stored in room temperature, so out in a bowl is perfect"
bananas storage?,Storage,"Bananas should normally be stored in room temperature, so out in a bowl is perfect"
where should a banana be stored?,Storage,"Bananas should normally be stored in room temperature, so out in a bowl is perfect"
How can I store basil?,Storage,"Basil should normally be stored in room temperature, so out in a container is best"
where should I store basil?,Storage,"Basil should normally be stored in room temperature, so out in a container is best"
basil storage?,Storage,"Basil should normally be stored in room temperature, so out in a container is best"
where should basil be stored?,Storage,"Basil should normally be stored in room temperature, so out in a container is best"
How can I store cucumbers?,Storage,"Cucumbers should normally be stored in room temperature, so out in a container is best"
where should I store cucumbers?,Storage,"Cucumbers should normally be stored in room temperature, so out in a container is best"
cucumber storage?,Storage,"Cucumbers should normally be stored in room temperature, so out in a container is best"
where should a cucumber be stored?,Storage,"Cucumbers should normally be stored in room temperature, so out in a container is best"
How can I store eggplants?,Storage,"Eggplants should normally be stored in room temperature, so out in a container is best"
where should I store eggplants?,Storage,"Eggplants should normally be stored in room temperature, so out in a container is best"
eggplant storage?,Storage,"Eggplants should normally be stored in room temperature, so out in a container is best"
where should a eggplant be stored?,Storage,"Eggplants should normally be stored in room temperature, so out in a container is best"
How can I store garlic?,Storage,"garlic should normally be stored in room temperature, so  in a container is best and store alone"
where should I store garlic?,Storage,
garlic storage?,Storage,
where should garlic be stored?,Storage,
How can I store grapefruit?,Storage,
where should I store basil?,Storage,
basil storage?,Storage,
where should basil be stored?,Storage,
How can I store greenbeans?,Storage,
where should I store basil?,Storage,
basil storage?,Storage,
where should basil be stored?,Storage,
How can I store lemons?,Storage,
where should I store basil?,Storage,
basil storage?,Storage,
where should basil be stored?,Storage,
How can I store onions?,Storage,
where should I store basil?,Storage,
basil storage?,Storage,
where should basil be stored?,Storage,
,Storage,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
,Disposal,
